,year,country_name,DM_age_marr_mean,DM_age_mean,ED_educ_years_mean,FP_desired_mean,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,HH_time_water_mean,HH_women_time_water_mean,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,WL_wealth_mean,FP_desired_daugh_mean,FP_desired_sons_mean,DM_age_diff_mean,HL_number_cigarettes_mean
82,1997,Colombia,19.236,29.046,7.318,2.772,0.72,4.964,5.012,0.854,6.132,19.34,19.738,21.08,19.232,2.024,1.922,47.008,1.176,0.972,5.006,NA
83,1997,Cote d'Ivoire,18.74333333,28.02166667,2.353333333,5.661666667,1.371666667,6.768333333,6.771666667,2.366666667,11.57666667,23.18833333,25.17333333,18.235,15.37833333,3.276666667,2.763333333,32.02333333,NA,NA,NA,NA
84,1997,Egypt,20.512,23.034,5.066,1.718,0.532,4.474,4.406,0.484,3.584,22.38,14.696,20.516,NA,2.008,1.816,85.14,0.386,0.406,4.494,NA
85,1997,Ghana,18.418,27.88,5.718,4.154,0.718,3.714,3.834,1.056,5.328,16.404,17.774,19.448,16.784,2.566,2.212,24.778,NA,NA,NA,NA
86,1997,Guatemala,19.46,28.755,6.335,3.05,0.795,4.85,4.895,0.915,5.76,26.44,29.21,20.885,19.12,2.265,2.095,52.75,1.39,1.41,3.075,NA
87,1997,India,15.46666667,25.31333333,2.283333333,2.046666667,0.61,4.793333333,4.85,0.623333333,4.946666667,17.1,14.16666667,17.47,NA,2.256666667,1.956666667,34.31666667,NA,NA,NA,NA
88,1997,Indonesia,19.57,20.2,5.08,1.67,0.52,NA,4.74,0.42,3.32,3.08,2.07,18.46,17.13,1.59,1.45,60.88,0.71,0.7,NA,NA
89,1997,Jordan,19.84,17.9,4.95,2.23,0.94,5.79,5.8,0.72,3.82,35.04,23.55,17.59,NA,2.27,2.16,79.43,0.88,1.08,3.47,NA
90,1997,Kenya,19.802,26.876,9.198,2.868,0.434,3.104,3.072,0.724,4.544,12.806,15.85,20.812,16.874,1.678,1.57,46.144,NA,NA,NA,NA
91,1997,Madagascar,18.97,28.85,5.18,8.86,0.96,4.93,4.99,1.07,5.96,16.97,17.6,20.18,18.13,2.98,2.54,18.48,5.97,6,4.53,NA
92,1997,Malawi,17.20875,27.62625,5.35875,4.775,0.93625,4.62,4.69,1.19,5.97,31.34875,31.30625,18.52,NA,3.18125,2.54875,15.7975,NA,NA,NA,NA
93,1997,Mali,15.35,28.902,0.69,6.004,1.418,5.888,6.34,1.826,8.256,14.554,14.234,18.37,15.058,3.986,2.858,13.146,2.43,2.944,13.652,NA
94,1997,Morocco,19.02909091,28.77,1.929090909,3.541818182,0.902727273,5.481818182,5.616363636,1.126363636,7.230909091,NA,NA,21.27,NA,2.295454545,1.981818182,53.05090909,NA,NA,NA,NA
95,1997,Mozambique,16.12,29.33,1.46,6.79,0.85,3.83,4.09,1.04,4.68,18.28,17.78,18.54,15.28,3.44,2.63,21.87,3.46,3.25,6.93,NA
96,1997,Nepal,16.906,24.392,1.14,2.206,0.91,5.234,5.364,0.87,5.188,17.666,13.376,19.19,16.474,2.562,2.178,24.846,0.804,1.272,3.934,NA
97,1997,Niger,14.99666667,28.29333333,0.63,8.101666667,1.291666667,5.338333333,5.503333333,1.611666667,6.906666667,32.95333333,32.26,17.78,14.80857143,3.906666667,2.661666667,7.97,NA,NA,NA,NA
98,1997,Pakistan,18.554,22.412,1.562,2.752,1.096,6.482,6.674,1.006,5.65,32.132,24.578,19.396,NA,2.764,2.394,45.598,NA,NA,NA,NA
99,1997,Peru,18.5225,29.12,5.805,2.6,0.8175,4.76,4.7825,1.0425,5.9975,13.44,12.115,19.7475,17.6625,3.115,2.805,27.6475,0.9625,0.94,4.9575,NA
100,1997,Senegal,18.68,28.23,3.95,4.63,1.5,8.4,8.47,2.19,12.63,15.03,15.5,20.2,18.18,2.66,2.37,47.4,NA,NA,NA,NA
101,1997,Tanzania,17.66,28.99666667,4.46,5.103333333,0.78,4.346666667,4.41,0.98,5.753333333,51.41333333,52.78,18.62,15.98,3.276666667,2.56,11.54333333,1.96125,2.13125,8.8475,NA
102,1997,Uganda,17.344,26.812,5.658,4.594,0.976,4.364,4.388,1.332,6.144,36.892,36.338,18.068,15.8,3.166,2.67,15.588,2.142,1.954,NA,NA
103,1997,Vietnam,19.75,23.56,4.93,1.58,0.67,5.02,5.06,0.58,3.99,11.75,7.54,20.81,NA,2.15,2,27.0,0.58,0.64,1.77,NA
104,1997,Zambia,17.51833333,27.5,6.316666667,5.061666667,0.948333333,5.095,5.245,1.34,7.038333333,21.53166667,20.05333333,18.54333333,16.02,3.065,2.576666667,19.93333333,2.391666667,2.301666667,7.998333333,NA
105,1997,Zimbabwe,18.076,27.738,6.636,4.806,0.746,4.32,4.45,1.024,5.848,26.66,29.008,19.364,17.688,2.766,2.458,22.778,2.244,2.282,NA,NA
106,1998,Bangladesh,14.59333333,24.89666667,3.106666667,2.086666667,0.78,5.05,5.28,0.733333333,5.183333333,13.55176471,12.00352941,17.15333333,NA,2.74,2.286666667,30.56,0.846666667,1.086666667,8.106666667,NA
107,1998,Benin,17.152,29.13,0.928,6.656,1.582,6.786,6.954,2.288,9.902,NA,NA,18.912,16.432,3.866,2.956,18.172,2.918,3.132,9.118,NA
108,1998,Bolivia,20.55,29.14,6.9,2.48,0.71,4.11,4.24,0.93,5.5,21.35,20.06,21.3,18.44,2.75,2.34,39.96,0.98,1.11,2.78,NA
109,1998,Colombia,19.264,29.174,7.532,2.728,0.69,4.876,4.928,0.826,6.038,20.31,20.202,21.12,19.258,1.986,1.888,48.682,1.134,0.928,4.954,NA
110,1998,Cote d'Ivoire,18.76777778,28.09222222,2.407777778,5.638888889,1.345555556,6.667777778,6.672222222,2.322222222,11.35555556,24.40111111,26.35111111,18.25333333,15.39111111,3.278888889,2.767777778,32.01444444,NA,NA,NA,NA
111,1998,Egypt,20.578,22.926,5.154,1.722,0.528,4.436,4.374,0.486,3.536,20.68,13.384,20.554,NA,1.962,1.784,83.46,0.414,0.434,4.436,NA
112,1998,Ghana,18.49,27.82,5.73,4.18,0.72,3.81,3.92,1.05,5.42,16.2,17.95,19.53,16.9,2.49,2.16,25.61,2.04,2.06,7.23,NA
